league_name,season_label,matches
Bundesliga,2006/2007,306
Bundesliga,2007/2008,306
Bundesliga,2008/2009,306
Bundesliga,2009/2010,306
Bundesliga,2010/2011,306
Bundesliga,2011/2012,306
Bundesliga,2012/2013,306
Bundesliga,2013/2014,306
Bundesliga,2014/2015,306
Bundesliga,2015/2016,306
Bundesliga,2016/2017,306
Bundesliga,2017/2018,306
Bundesliga,2018/2019,306
Bundesliga,2019/2020,306
Bundesliga,2020/2021,306
Bundesliga,2021/2022,306
Bundesliga,2022/2023,306
Bundesliga,2023/2024,306
Bundesliga,2024/2025,306
Bundesliga,2025/2026,206
Eredivisie,2006/2007,306
Eredivisie,2008/2009,306
Eredivisie,2009/2010,306
Eredivisie,2010/2011,306
Eredivisie,2011/2012,306
Eredivisie,2012/2013,306
Eredivisie,2013/2014,306
Eredivisie,2014/2015,306
Eredivisie,2015/2016,306
Eredivisie,2016/2017,306
Eredivisie,2017/2018,306
Eredivisie,2018/2019,306
Eredivisie,2019/2020,232
Eredivisie,2020/2021,306
Eredivisie,2021/2022,306
Eredivisie,2022/2023,306
Eredivisie,2023/2024,306
Eredivisie,2024/2025,306
Eredivisie,2025/2026,216
La Liga,2006/2007,380
La Liga,2007/2008,380
La Liga,2008/2009,380
La Liga,2009/2010,380
La Liga,2010/2011,380
La Liga,2011/2012,380
La Liga,2012/2013,380
La Liga,2013/2014,380
La Liga,2014/2015,380
La Liga,2015/2016,380
La Liga,2016/2017,380
La Liga,2017/2018,380
La Liga,2018/2019,380
La Liga,2019/2020,380
La Liga,2020/2021,380
La Liga,2021/2022,380
La Liga,2022/2023,380
La Liga,2023/2024,380
La Liga,2024/2025,380
La Liga,2025/2026,249
Ligue 1,2006/2007,380
Ligue 1,2007/2008,380
Ligue 1,2008/2009,380
Ligue 1,2009/2010,380
Ligue 1,2010/2011,380
Ligue 1,2011/2012,380
Ligue 1,2012/2013,380
Ligue 1,2013/2014,380
Ligue 1,2014/2015,380
Ligue 1,2015/2016,380
Ligue 1,2016/2017,380
Ligue 1,2017/2018,380
Ligue 1,2018/2019,380
Ligue 1,2019/2020,279
Ligue 1,2020/2021,380
Ligue 1,2021/2022,380
Ligue 1,2022/2023,380
Ligue 1,2023/2024,306
Ligue 1,2024/2025,306
Ligue 1,2025/2026,207
Premier League,2006/2007,380
Premier League,2007/2008,380
Premier League,2008/2009,380
Premier League,2009/2010,380
Premier League,2010/2011,380
Premier League,2011/2012,380
Premier League,2012/2013,380
Premier League,2013/2014,380
Premier League,2014/2015,380
Premier League,2015/2016,380
Premier League,2016/2017,380
Premier League,2017/2018,380
Premier League,2018/2019,380
Premier League,2019/2020,380
Premier League,2020/2021,380
Premier League,2021/2022,380
Premier League,2022/2023,380
Premier League,2023/2024,380
Premier League,2024/2025,380
Premier League,2025/2026,271
Serie A,2006/2007,380
Serie A,2007/2008,380
Serie A,2008/2009,380
Serie A,2009/2010,380
Serie A,2010/2011,380
Serie A,2011/2012,380
Serie A,2012/2013,380
Serie A,2013/2014,380
Serie A,2014/2015,380
Serie A,2015/2016,380
Serie A,2016/2017,380
Serie A,2017/2018,380
Serie A,2018/2019,380
Serie A,2019/2020,380
Serie A,2020/2021,380
Serie A,2021/2022,380
Serie A,2022/2023,380
Serie A,2023/2024,380
Serie A,2024/2025,380
Serie A,2025/2026,260
